Modelo,Fragmento,SPI_normalizado
n3_L1500,Known1,-1.8125592053226822
n3_L1500,Known2,0.7706090034605293
n3_L1500,Known3,0.12481695126472638
n3_L1500,Known4,1.416401055656332
n3_L1500,Known5,0.678352996003986
n3_L1500,Known6,1.0473770258301591
n3_L1500,Known7,1.8776810929390484
n3_L1500,Known8,-0.059695063648360164
n3_L1500,Known9,-1.720303197866139
n3_L1500,Known10,0.12481695126472638
n3_L1500,Known11,-0.6132311083876197
n3_L1500,Known12,-0.5209751009310765
n3_L1500,Known13,-0.705487115844163
n3_L1500,Known14,-0.6132311083876197
n3_L1500,Known15,-0.2442070785614467
n3_L1500,Known16,0.5860969885474427
n3_L1500,Known17,-0.33646308601798997
